Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
52	6.1428	2.6102	0.	9.1263e-005
53	7.8248	2.4749	0.	7.48e-005
54	9.2063	2.406	0.	6.3218e-005
55	10.471	2.3661	0.	5.3743e-005
56	11.674	2.3467	0.	4.4998e-005
57	12.835	2.3432	0.	3.712e-005
58	13.966	2.3525	0.	3.0209e-005
59	15.075	2.3547	0.	2.4103e-005
60	16.189	2.357	0.	1.8704e-005
61	17.299	2.359	0.	1.4015e-005
62	18.41	2.3619	0.	1.0056e-005
63	19.521	2.3799	0.	6.8098e-006
64	20.635	2.3858	0.	4.2982e-006
65	21.749	2.3965	0.	2.5515e-006
66	21.75	3.5953	0.	2.5503e-006
67	20.622	3.5905	0.	4.3222e-006
68	19.508	3.5728	0.	6.837e-006
69	18.406	3.5621	0.	1.0072e-005
70	17.29	3.5372	0.	1.4052e-005
71	16.183	3.527	0.	1.8732e-005
72	15.074	3.5179	0.	2.4112e-005
73	13.963	3.5131	0.	3.0241e-005
74	12.831	3.5172	0.	3.7098e-005
75	11.714	3.5119	0.	4.4703e-005
76	10.487	3.5531	0.	5.3555e-005
77	9.216	3.5721	0.	6.3655e-005
78	7.8852	3.6104	0.	7.4632e-005
79	6.5398	3.7782	0.	8.7385e-005
80	3.6896	4.8714	0.	9.9456e-005
81	3.9381	4.012	0.	1.346e-004
82	1.6216	1.3246	0.	1.4492e-004
83	2.1036	4.9328	0.	1.0005e-004
84	3.7261	3.0696	0.	1.5188e-004
85	3.5621	0.95131	0.	7.3745e-005
86	4.6671	2.0835	0.	1.1222e-004
87	5.0986	4.1973	0.	9.8778e-005
88	1.8231	4.3964	0.	1.4022e-004
89	3.4938	4.5249	0.	1.4426e-004
90	1.9937	0.92893	0.	1.0352e-004
91	1.9937	0.92893	0.1	1.0352e-004
92	3.4938	4.5249	0.1	1.4426e-004
93	1.8231	4.3964	0.1	1.4022e-004
94	5.0986	4.1973	0.1	9.8778e-005
95	4.6671	2.0835	0.1	1.1222e-004
96	3.5621	0.95131	0.1	7.3745e-005
97	3.7261	3.0696	0.1	1.5188e-004
98	2.1036	4.9328	0.1	1.0005e-004
99	1.6216	1.3246	0.1	1.4492e-004
100	3.9381	4.012	0.1	1.346e-004
101	3.6896	4.8714	0.1	9.9456e-005
102	6.5398	3.7782	0.1	8.7385e-005
103	7.8852	3.6104	0.1	7.4632e-005
