Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Stress (Pa)
473	0.55031	0.12174	1.27e-003	1.9617e-002
474	0.55035	0.13707	0.	-1447.5
475	0.50646	0.1216	0.	-4228.5
476	0.52158	0.1064	0.	-6655.3
477	0.52112	0.12166	1.27e-003	1.888e-002
478	0.52096	0.13703	0.	-1467.8
479	0.4771	0.12149	0.	-4744.3
480	0.4924	0.10629	0.	-6616.1
481	0.49181	0.12154	1.27e-003	1.7662e-002
482	0.4915	0.13697	0.	-1650.3
483	0.44755	0.12129	0.	2145.5
484	0.46316	0.10618	0.	-7459.
485	0.4624	0.12144	1.27e-003	1.5676e-002
486	0.46199	0.13692	0.	-4805.1
487	0.41723	0.1201	0.	-4326.9
488	0.43372	0.10582	0.	-2171.5
489	0.4327	0.12114	1.27e-003	1.5506e-002
490	0.43234	0.13677	0.	1341.3
491	0.38649	0.11747	0.	-21243
492	0.40316	0.10401	0.	-11057
493	0.40175	0.11906	1.27e-003	1.4036e-002
494	0.40206	0.13573	0.	-604.62
495	0.35615	0.11554	0.	-11842
496	0.37114	9.6621e-002	0.	-9444.5
497	0.37122	0.11588	1.27e-003	1.9717e-002
498	0.372	0.13414	0.	-6571.5
499	0.3259	0.11494	0.	-1802.4
500	0.33975	9.6514e-002	0.	2504.1
501	0.34107	0.11521	1.27e-003	1.0642e-002
502	0.34212	0.1338	0.	-2727.8
503	0.29553	0.11447	0.	-17966
504	0.30929	9.6046e-002	0.	-9420.6
505	0.31073	0.11468	1.27e-003	7.8484e-003
506	0.31215	0.13354	0.	13.319
507	0.26477	0.11421	0.	-87795
508	0.27885	9.5294e-002	0.	-52502
509	0.28033	0.11426	1.27e-003	7.7403e-003
510	0.28215	0.13333	0.	-10544
511	0.23325	0.1141	0.	-1.8958e+005
512	0.24763	9.5306e-002	0.	-1.5139e+005
513	0.24921	0.11415	1.27e-003	5.7866e-003
514	0.25178	0.13328	0.	-73650
515	0.19949	0.11393	0.	-3.5002e+005
516	0.21535	9.5161e-002	0.	-2.7231e+005
517	0.2173	0.11405	1.27e-003	2.6317e-003
518	0.22103	0.13322	0.	-1.4469e+005
519	0.16985	0.12259	0.	-1.9286e+005
520	0.18122	9.5206e-002	0.	-5.7592e+005
521	0.16278	0.10732	0.	-7.044e+005
522	0.18168	0.1138	1.27e-003	-1.2376e-003
523	0.18842	0.1331	0.	-75652
524	0.15802	0.13138	1.27e-003	-3.906e-003
525	0.16178	0.14189	0.	-3657.4
526	0.19707	7.6441e-002	0.	-4.932e+005
527	0.16189	7.6489e-002	0.	-1.6965e+006
528	0.18075	7.6608e-002	1.27e-003	1.2784e-002
529	0.39999	5.7084e-002	0.	21415
530	0.38011	6.6388e-002	0.	15198
531	0.38916	5.5415e-002	1.27e-003	2.5438e-002
532	0.42432	5.9278e-002	0.	-5125.3
533	0.4077	7.3851e-002	0.	7526.8
534	0.41083	5.8754e-002	1.27e-003	3.6435e-002
535	0.45189	5.9978e-002	0.	-17118
536	0.43627	7.5155e-002	0.	-20962
537	0.43782	5.9802e-002	1.27e-003	2.306e-002
538	0.48026	6.0262e-002	0.	-7771.1
539	0.46494	7.5531e-002	0.	-7681.6
540	0.46596	6.0154e-002	1.27e-003	1.4362e-002
541	0.50892	6.0459e-002	0.	-8841.4
542	0.49378	7.5707e-002	0.	-9372.4
543	0.49456	6.037e-002	1.27e-003	1.5128e-002
544	0.53764	6.0541e-002	0.	-8265.8
545	0.52266	7.5847e-002	0.	-8510.8
546	0.52329	6.0547e-002	1.27e-003	1.6031e-002
547	0.5515	7.5822e-002	0.	-8309.1
548	0.55199	6.0534e-002	1.27e-003	1.8284e-002
549	0.53653	9.1128e-002	0.	-8601.7
