Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent Elastic Strain (m/m)
500	0.33975	9.6514e-002	0.	3.3557e-005
501	0.34107	0.11521	1.27e-003	4.9851e-007
502	0.34212	0.1338	0.	3.2954e-005
503	0.29553	0.11447	0.	4.5019e-005
504	0.30929	9.6046e-002	0.	4.111e-005
505	0.31073	0.11468	1.27e-003	5.883e-007
506	0.31215	0.13354	0.	4.0758e-005
507	0.26477	0.11421	0.	5.3746e-005
508	0.27885	9.5294e-002	0.	4.9411e-005
509	0.28033	0.11426	1.27e-003	6.162e-007
510	0.28215	0.13333	0.	4.9038e-005
511	0.23325	0.1141	0.	6.3659e-005
512	0.24763	9.5306e-002	0.	5.8605e-005
513	0.24921	0.11415	1.27e-003	7.2603e-007
514	0.25178	0.13328	0.	5.8123e-005
515	0.19949	0.11393	0.	7.4035e-005
516	0.21535	9.5161e-002	0.	6.9482e-005
517	0.2173	0.11405	1.27e-003	9.4754e-007
518	0.22103	0.13322	0.	6.7922e-005
519	0.16985	0.12259	0.	8.2221e-005
