Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
105	0.40457	8.8948e-002	2.54e-003	1.391e+006
106	0.43473	9.0508e-002	2.54e-003	1.0137e+006
107	0.46392	9.0908e-002	2.54e-003	7.2594e+005
108	0.493	9.1044e-002	2.54e-003	4.9111e+005
109	0.52204	9.1146e-002	2.54e-003	3.0899e+005
110	0.55102	9.1111e-002	2.54e-003	1.8146e+005
111	0.55199	6.0534e-002	2.54e-003	1.7816e+005
112	0.52329	6.0547e-002	2.54e-003	3.0259e+005
113	0.49456	6.037e-002	2.54e-003	4.8157e+005
114	0.46596	6.0154e-002	2.54e-003	7.1066e+005
115	0.43782	5.9802e-002	2.54e-003	9.6625e+005
116	0.41083	5.8754e-002	2.54e-003	1.2829e+006
117	0.38916	5.5415e-002	2.54e-003	1.5837e+006
118	0.18075	7.6608e-002	2.54e-003	5.5676e+006
119	0.15802	0.13138	2.54e-003	5.9007e+006
120	0.18168	0.1138	2.54e-003	5.4516e+006
121	0.2173	0.11405	2.54e-003	4.7526e+006
122	0.24921	0.11415	2.54e-003	4.0208e+006
123	0.28033	0.11426	2.54e-003	3.386e+006
124	0.31073	0.11468	2.54e-003	2.8181e+006
125	0.34107	0.11521	2.54e-003	2.2876e+006
126	0.37122	0.11588	2.54e-003	1.8077e+006
127	0.40175	0.11906	2.54e-003	1.396e+006
128	0.4327	0.12114	2.54e-003	1.0511e+006
129	0.4624	0.12144	2.54e-003	7.3363e+005
130	0.49181	0.12154	2.54e-003	4.9099e+005
131	0.52112	0.12166	2.54e-003	3.0364e+005
132	0.55031	0.12174	2.54e-003	1.6895e+005
133	0.57991	0.12185	2.54e-003	87649
134	0.5802	9.1307e-002	2.54e-003	1.0991e+005
135	0.58079	6.096e-002	2.54e-003	1.0905e+005
136	2.4972e-002	0.12275	2.54e-003	9.7832e+006
137	0.58128	3.0399e-002	2.54e-003	84901
138	0.55292	3.0227e-002	2.54e-003	1.5982e+005
139	0.52461	3.008e-002	2.54e-003	2.8506e+005
140	0.49633	2.9953e-002	2.54e-003	4.6054e+005
141	0.46804	2.9836e-002	2.54e-003	6.8571e+005
142	0.44007	2.8861e-002	2.54e-003	9.5568e+005
143	0.41339	2.8513e-002	2.54e-003	1.2617e+006
144	0.3854	3.044e-002	2.54e-003	1.5786e+006
145	0.35999	3.689e-002	2.54e-003	2.0314e+006
146	0.33465	4.1173e-002	2.54e-003	2.4061e+006
147	0.30549	3.9163e-002	2.54e-003	2.909e+006
148	0.2758	3.8629e-002	2.54e-003	3.4825e+006
149	0.24543	3.865e-002	2.54e-003	4.0937e+006
150	0.21325	3.885e-002	2.54e-003	4.8891e+006
151	0.17606	3.8821e-002	2.54e-003	5.6754e+006
152	0.15244	2.2893e-002	2.54e-003	5.5534e+006
153	2.6907e-002	9.2875e-002	2.54e-003	1.0583e+007
154	2.9935e-002	6.418e-002	2.54e-003	1.0465e+007
155	5.2128e-002	9.6383e-002	2.54e-003	9.0941e+006
156	5.7224e-002	1.9418e-002	2.54e-003	8.5224e+006
157	0.13091	0.13881	2.54e-003	4.9149e+006
158	0.12696	1.5282e-002	2.54e-003	5.4034e+006
159	7.6105e-002	3.2847e-002	2.54e-003	9.3367e+006
160	8.1225e-002	1.3432e-002	2.54e-003	6.7639e+006
161	0.12565	0.12782	2.54e-003	4.7295e+006
162	0.13603	0.11748	2.54e-003	6.9363e+006
163	9.4788e-002	0.11391	2.54e-003	1.383e+007
164	8.8263e-002	0.13625	2.54e-003	6.1967e+006
165	6.3158e-002	7.0572e-002	2.54e-003	1.0342e+007
166	0.1309	3.3828e-002	2.54e-003	7.7284e+006
167	0.1442	5.2257e-002	2.54e-003	7.1045e+006
168	7.4707e-002	9.842e-002	2.54e-003	1.0558e+007
169	9.4635e-002	6.7658e-002	2.54e-003	1.4132e+007
170	0.11155	8.2623e-002	2.54e-003	1.4598e+007
171	0.10634	1.27e-002	2.54e-003	1.784e+006
172	0.10634	2.54e-002	2.54e-003	7.6695e+006
173	0.10634	3.81e-002	2.54e-003	1.19e+007
174	0.10634	5.08e-002	2.54e-003	2.5193e+007
175	0.10211	5.08e-002	2.54e-003	2.316e+007
176	0.10211	3.81e-002	2.54e-003	1.2887e+007
177	0.10211	2.54e-002	2.54e-003	1.0861e+007
178	0.10211	1.27e-002	2.54e-003	3.0917e+006
179	0.10634	0.1397	2.54e-003	2.6715e+006
180	0.10634	0.127	2.54e-003	8.9152e+006
181	0.10634	0.1143	2.54e-003	1.0226e+007
182	0.10634	0.1016	2.54e-003	2.0929e+007
183	0.10211	0.1016	2.54e-003	2.6862e+007
184	0.10211	0.1143	2.54e-003	1.8344e+007
