NodeIndex,X,Y,Z,Weight,StrainValue,CutLocation
8892,9.1165,6,0,0.0791707680611745,0.00036433,1.6
30096,9.1165,6,0.05,0.0679242352991715,1.2556e-05,1.6
8891,9.3003,6,0,0.0659098617458419,0.000359,1.6
8881,11.138,6,0,0.371128689862103,0.000307,1.6
30947,11.046,6,0,0.261164633606666,0.00030955,1.6
30118,11.138,6,0.05,0.224563760337211,1.3178e-05,1.6
10051,11.138,5.9091,0,0.14314291619402,0.00030726,1.6
8859,15.18,6,0,0.536466085558841,0.00020029,1.6
30162,15.18,6,0.05,0.199238502356733,1.257e-05,1.6
30924,15.272,6,0,0.149018357099673,0.00019799,1.6
10139,15.18,5.9091,0,0.115277054984753,0.00020075,1.6
30914,17.11,6,0,0.754388794457882,0.00015284,1.6
8849,17.018,6,0,0.0919986334704543,0.00015505,1.6
30182,17.018,6,0.05,0.0785480814353513,1.1896e-05,1.6
30181,17.11,6,0.1,0.0750644906363124,0.00015284,1.6
8826,21.244,6,0,0.331896784868884,5.7959e-05,1.6
