Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
498	6.44	0.54545	0.	-4.314e-004
499	6.44	0.36364	0.	-4.3003e-004
500	6.44	0.18182	0.	-4.2885e-004
501	6.256	5.8182	0.	-4.3817e-004
502	6.256	5.6364	0.	-4.3881e-004
503	6.256	5.4545	0.	-4.3958e-004
504	6.256	5.2727	0.	-4.4044e-004
505	6.256	5.0909	0.	-4.4135e-004
506	6.256	4.9091	0.	-4.4227e-004
507	6.256	4.7273	0.	-4.4317e-004
508	6.256	4.5455	0.	-4.4401e-004
509	6.256	4.3636	0.	-4.4478e-004
510	6.256	4.1818	0.	-4.4547e-004
511	6.256	4.	0.	-4.4606e-004
512	6.256	3.8182	0.	-4.4655e-004
513	6.256	3.6364	0.	-4.4695e-004
514	6.256	3.4545	0.	-4.4724e-004
515	6.256	3.2727	0.	-4.4743e-004
516	6.256	3.0909	0.	-4.4753e-004
517	6.256	2.9091	0.	-4.4753e-004
518	6.256	2.7273	0.	-4.4743e-004
519	6.256	2.5455	0.	-4.4724e-004
520	6.256	2.3636	0.	-4.4695e-004
521	6.256	2.1818	0.	-4.4655e-004
522	6.256	2.	0.	-4.4606e-004
523	6.256	1.8182	0.	-4.4547e-004
524	6.256	1.6364	0.	-4.4478e-004
525	6.256	1.4545	0.	-4.4401e-004
526	6.256	1.2727	0.	-4.4317e-004
527	6.256	1.0909	0.	-4.4227e-004
528	6.256	0.90909	0.	-4.4135e-004
529	6.256	0.72727	0.	-4.4044e-004
530	6.256	0.54545	0.	-4.3958e-004
531	6.256	0.36364	0.	-4.3881e-004
532	6.256	0.18182	0.	-4.3817e-004
533	6.072	5.8182	0.	-4.4682e-004
534	6.072	5.6364	0.	-4.4696e-004
535	6.072	5.4545	0.	-4.4721e-004
536	6.072	5.2727	0.	-4.4752e-004
537	6.072	5.0909	0.	-4.4786e-004
538	6.072	4.9091	0.	-4.4821e-004
539	6.072	4.7273	0.	-4.4853e-004
540	6.072	4.5455	0.	-4.4882e-004
541	6.072	4.3636	0.	-4.4907e-004
542	6.072	4.1818	0.	-4.4927e-004
543	6.072	4.	0.	-4.4942e-004
544	6.072	3.8182	0.	-4.4954e-004
545	6.072	3.6364	0.	-4.4962e-004
546	6.072	3.4545	0.	-4.4968e-004
547	6.072	3.2727	0.	-4.4971e-004
548	6.072	3.0909	0.	-4.4972e-004
549	6.072	2.9091	0.	-4.4972e-004
550	6.072	2.7273	0.	-4.4971e-004
551	6.072	2.5455	0.	-4.4968e-004
552	6.072	2.3636	0.	-4.4962e-004
553	6.072	2.1818	0.	-4.4954e-004
554	6.072	2.	0.	-4.4942e-004
555	6.072	1.8182	0.	-4.4927e-004
556	6.072	1.6364	0.	-4.4907e-004
557	6.072	1.4545	0.	-4.4882e-004
558	6.072	1.2727	0.	-4.4853e-004
559	6.072	1.0909	0.	-4.4821e-004
560	6.072	0.90909	0.	-4.4786e-004
561	6.072	0.72727	0.	-4.4752e-004
562	6.072	0.54545	0.	-4.4721e-004
563	6.072	0.36364	0.	-4.4696e-004
564	6.072	0.18182	0.	-4.4682e-004
565	5.888	5.8182	0.	-4.5493e-004
566	5.888	5.6364	0.	-4.5464e-004
567	5.888	5.4545	0.	-4.5443e-004
568	5.888	5.2727	0.	-4.5426e-004
569	5.888	5.0909	0.	-4.5411e-004
570	5.888	4.9091	0.	-4.5397e-004
