Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Stress (Pa)
849	0.56733	3.0315e-002	2.54e-003	82413
850	0.59547	3.0419e-002	2.54e-003	28623
851	0.58151	1.5179e-002	2.54e-003	33350
852	0.5393	3.0263e-002	2.54e-003	1.8403e+005
853	0.55352	1.5136e-002	2.54e-003	1.1186e+005
854	0.51133	3.0106e-002	2.54e-003	3.3314e+005
855	0.52555	1.5127e-002	2.54e-003	2.3751e+005
856	0.48339	2.9979e-002	2.54e-003	5.3016e+005
857	0.49762	1.4979e-002	2.54e-003	4.1111e+005
858	0.45547	3.0012e-002	2.54e-003	7.7542e+005
859	0.46969	1.5e-002	2.54e-003	6.3199e+005
860	0.42756	3.0016e-002	2.54e-003	1.0696e+006
861	0.44177	1.5012e-002	2.54e-003	9.0158e+005
862	0.39954	3.0197e-002	2.54e-003	1.4132e+006
863	0.41385	1.5005e-002	2.54e-003	1.2211e+006
864	0.37151	3.0584e-002	2.54e-003	1.8046e+006
865	0.38581	1.5192e-002	2.54e-003	1.5886e+006
866	0.34372	3.0365e-002	2.54e-003	2.242e+006
867	0.35788	1.5392e-002	2.54e-003	2.0034e+006
868	0.31588	2.9884e-002	2.54e-003	2.7289e+006
869	0.33009	1.4974e-002	2.54e-003	2.4706e+006
870	0.288	3.0286e-002	2.54e-003	3.2645e+006
871	0.30211	1.4911e-002	2.54e-003	2.9866e+006
872	0.26	3.0777e-002	2.54e-003	3.8455e+006
873	0.27428	1.5375e-002	2.54e-003	3.552e+006
874	0.23165	3.0517e-002	2.54e-003	4.4749e+006
875	0.24618	1.5403e-002	2.54e-003	4.1607e+006
876	0.20311	2.9478e-002	2.54e-003	5.0872e+006
877	0.218	1.5115e-002	2.54e-003	4.8142e+006
878	0.17268	2.753e-002	2.54e-003	5.3961e+006
879	0.18971	1.4363e-002	2.54e-003	5.3331e+006
880	0.15982	4.0378e-002	2.54e-003	5.8336e+006
881	0.1434	2.0576e-002	2.54e-003	4.9675e+006
882	0.15965	1.3167e-002	2.54e-003	5.2487e+006
883	5.7355e-002	3.7371e-002	2.54e-003	9.0709e+006
884	6.3496e-002	2.1159e-002	2.54e-003	7.7591e+006
885	5.1288e-002	1.2363e-002	2.54e-003	9.2626e+006
886	3.2143e-002	0.10459	2.54e-003	9.1807e+006
887	4.0831e-002	0.12397	2.54e-003	9.05e+006
888	1.4694e-002	0.12149	2.54e-003	1.1348e+007
889	2.7521e-002	0.13673	2.54e-003	8.8703e+006
890	3.2489e-002	7.2798e-002	2.54e-003	9.5655e+006
891	1.7449e-002	8.9779e-002	2.54e-003	1.1891e+007
892	4.6761e-002	5.3747e-002	2.54e-003	9.3198e+006
893	1.504e-002	5.922e-002	2.54e-003	1.2044e+007
894	8.2578e-002	9.5292e-002	2.54e-003	1.093e+007
895	8.638e-002	7.8352e-002	2.54e-003	1.2604e+007
896	0.15002	5.3503e-002	2.54e-003	7.3034e+006
897	6.4353e-002	0.1303	2.54e-003	7.8492e+006
898	5.1791e-002	0.13963	2.54e-003	9.1506e+006
899	0.13983	0.11002	2.54e-003	6.3182e+006
900	0.12698	0.10176	2.54e-003	1.6081e+007
901	0.11805	0.13942	2.54e-003	3.2458e+006
902	0.13202	0.14577	2.54e-003	4.1242e+006
903	8.4904e-002	0.11058	2.54e-003	9.6283e+006
904	9.3218e-002	0.10184	2.54e-003	1.5141e+007
905	9.5856e-002	0.10965	2.54e-003	1.0187e+007
906	7.8573e-002	0.12494	2.54e-003	7.3312e+006
907	9.1664e-002	0.12158	2.54e-003	7.5595e+006
908	8.9524e-002	0.13672	2.54e-003	5.8843e+006
909	7.6697e-002	0.14307	2.54e-003	6.2995e+006
910	0.11853	1.376e-002	2.54e-003	3.8695e+006
911	0.1325	7.4097e-003	2.54e-003	4.3322e+006
912	8.3029e-002	4.4058e-002	2.54e-003	1.0572e+007
913	8.917e-002	1.5146e-002	2.54e-003	6.2595e+006
914	7.6343e-002	8.7957e-003	2.54e-003	5.9817e+006
915	0.1197	0.11621	2.54e-003	6.0387e+006
916	9.9978e-002	0.10013	2.54e-003	3.0773e+007
917	9.9658e-002	6.0965e-002	2.54e-003	2.2098e+007
918	0.13724	6.1021e-002	2.54e-003	8.98e+006
919	0.12192	5.1692e-002	2.54e-003	1.7004e+007
920	0.10685	0.13335	2.54e-003	3.5344e+006
921	0.10685	0.14605	2.54e-003	2.4844e+006
922	0.10685	0.1397	1.27e-003	1.835e+005
923	0.10685	0.12065	2.54e-003	6.3542e+006
924	0.10685	0.127	1.27e-003	9.4953e+005
925	0.10685	0.10795	2.54e-003	1.7149e+007
926	0.10685	0.1143	1.27e-003	9.5006e+005
927	0.10473	0.1016	2.54e-003	3.1228e+007
928	0.10685	0.1016	1.27e-003	1.4936e+006
929	0.10262	0.10795	2.54e-003	2.4804e+007
930	0.10262	0.1016	1.27e-003	5.1753e+006
931	0.10262	0.12065	2.54e-003	9.0719e+006
932	0.10262	0.1143	1.27e-003	1.1908e+006
933	0.10262	0.13335	2.54e-003	6.4679e+006
934	0.10262	0.127	1.27e-003	6.0627e+005
935	0.10262	0.14605	2.54e-003	4.671e+006
936	0.10262	0.1397	1.27e-003	3.4586e+005
937	0.10685	1.905e-002	2.54e-003	5.2669e+006
938	0.10685	6.35e-003	2.54e-003	3.0737e+006
939	0.10685	1.27e-002	1.27e-003	2.0785e+005
940	0.10685	3.175e-002	2.54e-003	8.6481e+006
941	0.10685	2.54e-002	1.27e-003	9.4702e+005
942	0.10685	4.445e-002	2.54e-003	1.7609e+007
943	0.10685	3.81e-002	1.27e-003	5.6819e+005
944	0.10473	5.08e-002	2.54e-003	2.5749e+007
945	0.10685	5.08e-002	1.27e-003	3.7714e+005
946	0.10262	4.445e-002	2.54e-003	2.125e+007
947	0.10262	5.08e-002	1.27e-003	5.6152e+005
948	0.10262	3.175e-002	2.54e-003	1.2218e+007
949	0.10262	3.81e-002	1.27e-003	6.5019e+005
950	0.10262	1.905e-002	2.54e-003	9.3116e+006
951	0.10262	2.54e-002	1.27e-003	1.1886e+006
952	0.10262	6.35e-003	2.54e-003	5.4123e+006
953	0.10262	1.27e-002	1.27e-003	5.6775e+005
954	0.12081	0.1524	2.54e-003	3.4379e+006
955	0.10685	0.1524	1.27e-003	2.3508e+005
956	0.14875	0.1524	2.54e-003	4.6511e+006
