Node Number	X Location (m)	Y Location (m)	Z Location (m)	Minimum Principal Stress (Pa)
480	0.48339	2.9979e-002	0.	-5.3016e+005
481	0.46915	4.5324e-002	0.	-6.4144e+005
482	0.46943	3.e-002	1.27e-003	-10968
483	0.46969	1.5e-002	0.	-6.3199e+005
484	0.51133	3.0106e-002	0.	-3.3314e+005
485	0.49707	4.5382e-002	0.	-4.2047e+005
486	0.49736	2.9958e-002	1.27e-003	-8796.8
487	0.49762	1.4979e-002	0.	-4.1111e+005
488	0.5393	3.0263e-002	0.	-1.8403e+005
489	0.525	4.5528e-002	0.	-2.4738e+005
490	0.5253	3.0254e-002	1.27e-003	-6756.2
491	0.52555	1.5127e-002	0.	-2.3751e+005
492	0.56733	3.0315e-002	0.	-82413
493	0.55315	4.5567e-002	0.	-1.2213e+005
494	0.55331	3.0272e-002	1.27e-003	-4662.1
495	0.55352	1.5136e-002	0.	-1.1186e+005
496	0.58118	4.557e-002	0.	-44644
497	0.58134	3.0358e-002	1.27e-003	-3061.4
498	0.58151	1.5179e-002	0.	-33350
499	0.59547	3.0419e-002	0.	-28623
500	0.58101	7.6131e-002	0.	-47097
501	0.567	6.0822e-002	0.	-86370
502	0.58101	6.0782e-002	1.27e-003	-2950.5
503	0.5953	6.0871e-002	0.	-34076
504	0.58113	0.10663	0.	-44779
505	0.56692	9.144e-002	0.	-86755
506	0.58101	9.1481e-002	1.27e-003	-2932.
507	0.5953	9.146e-002	0.	-34137
508	0.56724	0.12183	0.	-82800
509	0.58126	0.12178	1.27e-003	-3082.8
510	0.59543	0.12185	0.	-28923
511	0.58146	0.13709	0.	-33302
512	0.5391	0.12184	0.	-1.8547e+005
513	0.55302	0.10664	0.	-1.2277e+005
514	0.55321	0.12188	1.27e-003	-4705.5
515	0.55348	0.13714	0.	-1.122e+005
516	0.51092	0.12179	0.	-3.3627e+005
517	0.52489	0.10658	0.	-2.4841e+005
518	0.52499	0.12179	1.27e-003	-6827.3
519	0.5254	0.1371	0.	-2.385e+005
520	0.48297	0.1217	0.	-5.3427e+005
521	0.49683	0.10652	0.	-4.2213e+005
522	0.49686	0.12179	1.27e-003	-9024.2
523	0.49737	0.13709	0.	-4.1245e+005
