Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
75,16.64,4.7307,0,1.6555e-05,165.44,6.217e-06,8.9129,4.9895e-06,-0.31066,-1.639e-05,-160.95,0.33354
76,15.971,4.7307,0,1.9543e-05,195.29,7.169e-06,8.4945,5.9979e-06,-0.30442,-1.9388e-05,-191.05,0.31328
77,15.302,4.7307,0,2.2784e-05,227.68,8.192e-06,7.9275,7.0974e-06,-0.29706,-2.2643e-05,-223.75,0.29319
78,14.633,4.7307,0,2.6276e-05,262.58,9.2815e-06,7.1661,8.2894e-06,-0.2883,-2.6151e-05,-259.06,0.27331
79,13.964,4.7307,0,3.0017e-05,299.97,1.0433e-05,6.1648,9.5759e-06,-0.27274,-2.9912e-05,-296.97,0.25365
80,13.295,4.7307,0,3.3998e-05,339.75,1.1637e-05,4.8244,1.0954e-05,-0.3046,-3.3919e-05,-337.46,0.23426
81,12.626,4.7307,0,3.8227e-05,382,1.2878e-05,3.0167,1.2446e-05,-0.22839,-3.8178e-05,-380.6,0.21517
82,11.957,4.7307,0,4.269e-05,426.61,1.4155e-05,0.71887,1.4039e-05,-0.15068,-4.268e-05,-426.32,0.19643
83,11.288,4.7307,0,4.7367e-05,473.35,1.5717e-05,-0.24848,1.5464e-05,-2.1453,-4.7408e-05,-474.54,0.17806
84,10.619,4.7307,0,5.2283e-05,522.47,1.7519e-05,-0.22279,1.6783e-05,-5.7489,-5.2382e-05,-525.43,0.16012
85,9.95,4.7307,0,5.7371e-05,573.32,1.9403e-05,-0.10525,1.8125e-05,-9.7094,-5.7532e-05,-578.17,0.14264
86,9.3012,4.7428,0,6.2494e-05,624.51,2.1376e-05,0.34371,1.9373e-05,-14.703,-6.2725e-05,-631.56,0.12618
87,8.6458,4.7818,0,6.7814e-05,677.67,2.3274e-05,0.036644,2.0856e-05,-18.13,-6.8103e-05,-686.53,0.11006
88,8.0212,4.8519,0,7.2645e-05,725.95,2.4852e-05,0.92108,2.2562e-05,-16.285,-7.2891e-05,-733.48,0.095222
89,1.9222,3.2812,0,0.00013107,1309.8,6.1251e-05,13.033,1.0297e-05,-369.82,-0.00013287,-1445.5,0.0054959
90,8.6768,4.1481,0,6.7294e-05,672.47,2.3991e-05,1.2105,1.9246e-05,-34.442,-6.7788e-05,-688.38,0.11117
91,8.4928,2.7597,0,6.7486e-05,674.4,2.5601e-05,0.074217,1.6425e-05,-68.871,-6.8392e-05,-706.15,0.107
92,5.0726,3.6619,0,0.00030551,3053,0.00014773,636.32,7.6734e-05,102.86,-0.00028942,-2648.3,0.036318
93,5.3905,2.2625,0,0.00028956,2893.6,0.00012253,380.5,8.3861e-05,89.935,-0.00028046,-2647.5,0.04133
94,23.335,5.3416,0,7.0505e-07,7.0457,6.4239e-07,5.6739,-1.2237e-07,-0.072174,-4.0383e-07,-2.1869,0.5409
95,22.672,5.3546,0,1.1396e-06,11.388,8.7341e-07,6.4995,-5.2802e-09,-0.10267,-8.7677e-07,-6.6507,0.52018
